Date,Open,High,Low,Close,Adj Close,Volume
01/01/2015,0.024455,0.024455,0.024205,0.02439,0.02439,399022
02/01/2015,0.024377,0.024423,0.024309,0.024318,0.024318,459956
03/01/2015,0.024297,0.024317,0.022106,0.022106,0.022106,2171040
04/01/2015,0.0221,0.022142,0.018828,0.018928,0.018928,3801010
05/01/2015,0.018943,0.020316,0.01889,0.020316,0.020316,3051930
06/01/2015,0.020325,0.020745,0.020282,0.020732,0.020732,1752160
07/01/2015,0.020727,0.020899,0.020492,0.020843,0.020843,787462
08/01/2015,0.020843,0.020917,0.020668,0.020676,0.020676,823446
09/01/2015,0.02065,0.020665,0.020512,0.020576,0.020576,1092300
10/01/2015,0.020623,0.020623,0.01923,0.019233,0.019233,1550330
11/01/2015,0.019244,0.019288,0.018755,0.018765,0.018765,558120
12/01/2015,0.018782,0.018853,0.018434,0.018434,0.018434,560642
13/01/2015,0.018428,0.020769,0.015599,0.015648,0.015648,3113440
14/01/2015,0.015611,0.022335,0.014113,0.014233,0.014233,1886420
15/01/2015,0.014204,0.016536,0.014204,0.016444,0.016444,2285810
16/01/2015,0.016449,0.017094,0.016361,0.016403,0.016403,1651550
17/01/2015,0.016393,0.016401,0.015361,0.015361,0.015361,737736
18/01/2015,0.015386,0.015806,0.015092,0.015622,0.015622,1170730
19/01/2015,0.015657,0.016017,0.015651,0.015991,0.015991,1093540
20/01/2015,0.015947,0.016114,0.01585,0.016112,0.016112,1029700
21/01/2015,0.016108,0.016717,0.016108,0.016653,0.016653,1141990
22/01/2015,0.0167,0.017042,0.016671,0.01701,0.01701,1105630
23/01/2015,0.017013,0.017013,0.016694,0.016734,0.016734,1080800
24/01/2015,0.01672,0.016868,0.016598,0.016736,0.016736,945649
25/01/2015,0.016703,0.016918,0.016393,0.016578,0.016578,892182
26/01/2015,0.016586,0.017808,0.015831,0.016019,0.016019,3079280
27/01/2015,0.016007,0.016065,0.015461,0.015841,0.015841,1316000
28/01/2015,0.015836,0.015932,0.014918,0.01497,0.01497,1380280
29/01/2015,0.014966,0.014988,0.014538,0.014706,0.014706,1097200
30/01/2015,0.014691,0.014815,0.014438,0.014443,0.014443,807399
31/01/2015,0.014441,0.01464,0.014271,0.014298,0.014298,557619
01/02/2015,0.014286,0.014331,0.014088,0.014139,0.014139,852106
02/02/2015,0.014137,0.014199,0.013534,0.01367,0.01367,1482760
03/02/2015,0.013658,0.013711,0.012983,0.013025,0.013025,1264170
04/02/2015,0.013027,0.013526,0.013027,0.013498,0.013498,625444
05/02/2015,0.013503,0.014473,0.013503,0.014466,0.014466,1221720
06/02/2015,0.014473,0.015494,0.014473,0.015185,0.015185,1790130
07/02/2015,0.015186,0.015193,0.014459,0.014577,0.014577,518284
08/02/2015,0.014576,0.014651,0.014398,0.014426,0.014426,446888
09/02/2015,0.01443,0.014433,0.013994,0.013994,0.013994,625357
10/02/2015,0.014003,0.014007,0.013627,0.013649,0.013649,850302
11/02/2015,0.013643,0.01378,0.013588,0.013776,0.013776,457627
12/02/2015,0.01378,0.014069,0.013774,0.014039,0.014039,542301
13/02/2015,0.014031,0.014661,0.014031,0.014566,0.014566,1005470
14/02/2015,0.014564,0.015029,0.014564,0.014956,0.014956,816442
15/02/2015,0.014941,0.015038,0.013566,0.013712,0.013712,1134340
16/02/2015,0.013745,0.013853,0.01358,0.01375,0.01375,391037
17/02/2015,0.013751,0.014048,0.013722,0.014031,0.014031,428236
18/02/2015,0.014028,0.014049,0.013719,0.013791,0.013791,384700
19/02/2015,0.013806,0.013851,0.013758,0.013758,0.013758,308654
20/02/2015,0.013741,0.013765,0.013481,0.013481,0.013481,1036780
21/02/2015,0.013462,0.013537,0.013244,0.013286,0.013286,314420
22/02/2015,0.013289,0.013376,0.01308,0.01313,0.01313,587911
23/02/2015,0.013124,0.013363,0.01311,0.013334,0.013334,439387
24/02/2015,0.013351,0.013424,0.013345,0.013396,0.013396,627475
25/02/2015,0.013403,0.013472,0.01339,0.013401,0.013401,502828
26/02/2015,0.013405,0.013414,0.013257,0.013299,0.013299,836544
